id,label,parent,value
67964002_10,null,95529005_4,1
30514008_31,null,67964002_10,1
77987006,null,,1
19850005_14,null,95529005_4,1
48974009,null,,1
415624002_5,null,95529005_4,1
308882008,null,,1
196707000_11,null,95529005_4,1
30514008_32,null,196707000_11,1
77987006,null,,1
500790491000119109,null,,1
254533000_1,null,119291004_1,1
1304123001_1,null,254533000_1,1
363349007_5,null,1304123001_1,1
276811008_5,null,363349007_5,1
448709005_5,null,276811008_5,1
449222008,null,,1
126824007_4,null,254533000_1,1
363349007_6,null,126824007_4,1
276811008_6,null,363349007_6,1
448709005_6,null,276811008_6,1
449222008,null,,1
37657006_2,null,119291004_1,2
300286002_2,null,37657006_2,2
30811009_3,null,300286002_2,2
439955006_4,null,30811009_3,1
40719004,null,,1
16761005_2,null,37657006_2,1
439955006_5,null,16761005_2,1
40719004,null,,1
37372002_2,null,119291004_1,5
61401005_4,null,37372002_2,3
15902003_9,null,61401005_4,3
89748001_19,null,15902003_9,3
308882008,null,,1
70418001,null,,1
48974009,null,,1
62366003_22,null,15902003_9,1
48974009,null,,1
16694003_11,null,15902003_9,1
70418001,null,,1
64121000_3,null,37372002_2,5
12274003_5,null,64121000_3,4
89748001_20,null,12274003_5,3
308882008,null,,1
70418001,null,,1
48974009,null,,1
111353003_10,null,12274003_5,1
48974009,null,,1
15902003_10,null,64121000_3,3
89748001_21,null,15902003_10,3
308882008,null,,1
70418001,null,,1
48974009,null,,1
62366003_23,null,15902003_10,1
48974009,null,,1
16694003_12,null,15902003_10,1
70418001,null,,1
55617001_4,null,64121000_3,2
62366003_24,null,55617001_4,1
48974009,null,,1
111353003_11,null,55617001_4,1
48974009,null,,1
90489006,null,,1
48658001_3,null,64121000_3,1
90489006,null,,1
47771009_1,null,119292006_1,2
125626004_3,null,47771009_1,1
235674005_5,null,125626004_3,1
9829001_9,null,235674005_5,1
19850005_15,null,9829001_9,1
48974009,null,,1
62366003_25,null,9829001_9,1
48974009,null,,1
51875005_1,null,47771009_1,2
88169003_2,null,51875005_1,2
12625009_2,null,88169003_2,1
90489006,null,,1
79118000_3,null,88169003_2,1
19850005_16,null,79118000_3,1
48974009,null,,1
111353003_12,null,79118000_3,1
48974009,null,,1
9829001_10,null,88169003_2,1
19850005_17,null,9829001_10,1
48974009,null,,1
62366003_26,null,9829001_10,1
48974009,null,,1
55617001_5,null,88169003_2,2
62366003_27,null,55617001_5,1
48974009,null,,1
111353003_13,null,55617001_5,1
48974009,null,,1
90489006,null,,1
235674005_6,null,51875005_1,1
9829001_11,null,235674005_6,1
19850005_18,null,9829001_11,1
48974009,null,,1
62366003_28,null,9829001_11,1
48974009,null,,1
24813008_1,null,119292006_1,4
1197691004,null,,1
713704004_5,null,24813008_1,1
713702000,null,,1
1197707003,null,,1
871633002,null,,1
85919009_2,null,119292006_1,10
85942002_2,null,85919009_2,10
235710003_3,null,85942002_2,6
54822007_4,null,235710003_3,2
16121001_8,null,54822007_4,1
2783007_12,null,16121001_8,1
35517004_12,null,2783007_12,1
77987006,null,,1
30514008_33,null,2783007_12,1
77987006,null,,1
196707000_12,null,16121001_8,1
30514008_34,null,196707000_12,1
77987006,null,,1
51868009_6,null,235710003_3,4
1197691004,null,,1
235692002,null,,1
79806007,null,,1
724534002,null,,1
871633002,null,,1
235766003_3,null,85942002_2,3
46761000087106,null,,1
46040000_4,null,235766003_3,2
55957000,null,,1
64766004_7,null,46040000_4,1
445243001_7,null,64766004_7,1
266071000_3,null,85919009_2,1
724534002,null,,1
712510007_3,null,85919009_2,1
46761000087106,null,,1
119523007_2,null,85919009_2,3
302168000_3,null,119523007_2,1
64226004_4,null,302168000_3,1
64766004_8,null,64226004_4,1
